Fecha,ALIMENTOS Y BEBIDAS,SUMINISTROS INDUSTRIALES,COMBUSTIBLES Y LUBRICANTES,BIENES DE CAPITAL,EQUIPO DE TRANSPORTE Y SUS PIEZAS Y ACCESORIOS,ARTÍCULOS DE CONSUMO
2002-01-01,14.325104,44.980832,4.40291,32.428049,11.09758,20.474705
2002-02-01,15.114322,41.224836,4.221225,29.162314,11.45869,15.629022
2002-03-01,22.665166,62.085942,4.564588,28.552411,11.049347,19.312795
2002-04-01,24.332387,56.819342,3.126471,32.951596,27.385443,21.236166
2002-05-01,21.362043,52.293254,5.441807,24.43573,20.364934,20.12424
2002-06-01,17.990733,61.788841,6.45474,30.487223,17.069384,17.007704
2002-07-01,22.010394,58.049183,8.267458,41.847144,11.372618,22.429366
2002-08-01,23.283423,68.851252,8.38554,25.073161,23.353072,21.204437
2002-09-01,19.808397,55.547029,8.87562,32.686024,10.264382,18.604311
2002-10-01,18.560296,55.159682,8.567518,33.961009,9.759947,18.886118
2002-11-01,12.23137,48.549742,9.536455,41.616324,52.175063,17.514302
2002-12-01,13.89551,50.713845,9.520303,47.01026,25.253182,23.458071
2003-01-01,15.813695,47.579544,8.164834,34.158553,15.918187,16.210808
2003-02-01,10.853181,41.978741,8.979288,26.382876,51.833456,14.648365
2003-03-01,16.78421,43.339246,6.958263,33.981753,30.605901,15.971949
2003-04-01,21.295262,40.576622,9.412295,32.456148,11.64443,14.931824
2003-05-01,21.144825,44.74697,9.410323,21.777578,23.318605,18.900125
2003-06-01,22.080196,45.680657,9.975784,15.443349,9.76691,16.68262
2003-07-01,21.477797,49.371849,10.70572,20.372237,12.245373,18.020062
2003-08-01,18.174332,46.781782,10.329307,21.217409,9.382063,19.025004
2003-09-01,15.347733,49.415741,10.680667,39.472487,17.619101,18.402772
2003-10-01,17.112217,57.308584,10.217627,36.426999,17.597194,17.903467
2003-11-01,17.728856,55.280843,9.089772,23.414537,17.779663,19.566108
2003-12-01,16.888535,58.18746,10.665769,25.891979,18.290632,22.897915
2004-01-01,11.578698,52.388037,7.58928,29.167234,22.003367,17.389596
2004-02-01,12.708871,47.285797,7.657745,32.946981,18.858939,15.556858
2004-03-01,17.220607,56.886093,7.978585,34.694609,21.353978,21.831354
2004-04-01,18.76937,47.686704,8.496998,28.202721,16.069086,16.0343
2004-05-01,24.020366,52.862837,8.520621,34.187504,16.661304,19.819821
2004-06-01,20.379529,59.958384,7.242093,34.00308,14.301427,18.061502
2004-07-01,23.829932,60.663027,8.066899,33.625371,13.595212,17.61575
2004-08-01,14.117075,58.22746,9.043936,31.356558,19.221239,19.301994
2004-09-01,13.334433,64.117014,8.62606,40.99287,19.708437,19.053535
2004-10-01,18.855857,71.145345,18.262614,36.642703,17.551857,17.908116
2004-11-01,15.732877,74.734067,15.926826,39.150746,25.528101,22.802858
2004-12-01,16.504508,73.244311,15.130491,34.878882,23.411452,24.477627
2005-01-01,19.501038,66.904493,11.13882,36.435533,23.97988,17.762729
2005-02-01,20.58512,62.865789,9.670717,33.051031,20.482941,17.777232
2005-03-01,15.908415,65.024594,12.876802,33.603443,17.506774,20.933824
2005-04-01,21.872372,71.532002,18.946777,38.170291,20.704533,23.579294
2005-05-01,17.757491,70.074538,16.275495,47.196116,18.804214,22.36058
2005-06-01,19.562903,72.704983,19.07251,37.797129,26.170754,19.441104
2005-07-01,18.761315,71.717954,26.574398,44.954753,31.058359,22.124754
2005-08-01,20.233448,73.483851,22.932087,46.707575,32.704454,22.347486
2005-09-01,16.81273,71.390501,23.554069,38.171316,33.094074,23.649992
2005-10-01,17.440739,77.975499,31.330542,38.515093,32.974582,21.989829
2005-11-01,18.16415,86.175159,26.652051,49.900444,31.583853,29.278636
2005-12-01,20.728992,82.736412,20.491436,55.213173,35.973017,26.808376
2006-01-01,20.299478,84.27702,21.459862,47.602158,45.381048,22.154113
2006-02-01,12.711281,67.712473,15.688951,37.579678,29.334447,19.876296
2006-03-01,29.068325,87.154378,23.046626,61.215746,37.330367,27.48258
2006-04-01,18.150335,72.823255,24.790742,57.127582,30.44073,25.860813
2006-05-01,27.669109,89.058766,28.93193,66.387695,34.241726,32.522249
2006-06-01,20.772425,87.687089,20.832777,61.740357,34.824275,26.444974
2006-07-01,19.206313,77.010128,16.363779,46.139439,37.966102,23.233392
2006-08-01,19.402833,81.981123,19.488956,57.116652,38.087864,26.402145
2006-09-01,18.192603,80.67159,16.846865,49.274324,37.177168,26.358094
2006-10-01,22.694459,93.367291,20.605084,53.652808,38.612172,27.691207
2006-11-01,21.419586,91.831299,24.412248,57.301533,37.651667,31.862443
2006-12-01,18.616686,90.837119,39.816834,40.989509,35.425177,31.229239
2007-01-01,23.92531,96.216711,17.463481,63.876168,46.527328,29.373969
2007-02-01,19.513198,76.729265,15.663556,38.564821,38.118542,28.661088
2007-03-01,33.780808,86.759712,23.971998,61.427682,47.800973,31.763552
2007-04-01,31.7651,81.665623,14.57392,54.635206,50.009809,28.173152
2007-05-01,28.883097,100.270033,22.206272,68.471781,48.056389,33.778767
2007-06-01,28.082138,98.827083,17.061582,47.70759,47.334849,29.393117
2007-07-01,31.402507,105.104437,15.860671,58.811504,56.981712,29.34224
2007-08-01,38.739531,111.207939,22.926172,69.251172,57.141728,33.913771
2007-09-01,24.639282,100.847206,23.34235,61.85319,56.693374,31.7863
2007-10-01,34.121283,121.400175,30.345,75.603916,59.358635,34.962314
2007-11-01,25.565138,117.289511,34.428894,73.102741,49.396869,36.669216
2007-12-01,27.217182,114.10234,42.594708,62.781856,59.696518,39.063926
2008-01-01,29.448107,127.458363,24.003166,80.521773,59.459157,34.020406
2008-02-01,30.134361,115.377188,27.433404,68.551796,45.642042,34.144295
2008-03-01,38.945674,121.512087,30.19098,67.822511,58.904845,37.654592
2008-04-01,31.121947,126.797624,50.584843,72.471352,70.9487,39.507655
2008-05-01,38.863363,143.618118,48.242551,93.859819,70.337848,40.471249
2008-06-01,30.824443,150.026863,56.176878,79.978039,67.304118,40.672104
2008-07-01,45.372128,171.418516,50.248614,118.781043,95.051293,48.039941
2008-08-01,48.043899,165.424011,61.295617,74.869613,68.600981,41.451867
